Tinamus major,Great_Tinamou
Crypturellus soui,Little_Tinamou
Crypturellus cinnamomeus,Thicket_Tinamou
Crypturellus boucardi,Slaty-breasted_Tinamou
Ortalis vetula,Plain_Chachalaca
Ortalis wagleri,Rufous-bellied_Chachalaca
Ortalis poliocephala,West_Mexican Chachalaca
Ortalis leucogastra,White-bellied_Chachalaca
Penelope purpurascens,Crested_Guan
Penelopina nigra,Highland_Guan
Oreophasis derbianus,Horned_Guan
Crax rubra,Great_Curassow
Perdix perdix,Grey_Partridge
Dendragapus canadensis,Spruce_Grouse
Lagopus lagopus,Willow_Ptarmigan
Lagopus muta,Rock_Ptarmigan
Lagopus leucura,White-tailed_Ptarmigan
Bonasa umbellus,Ruffed_Grouse
Centrocercus urophasianus,Greater_Sage-grouse
Tympanuchus phasianellus,Sharp-tailed_Grouse
Tympanuchus cupido,Greater_Prairie-chicken
Tympanuchus pallidicinctus,Lesser_Prairie-chicken
Meleagris gallopavo,Wild_Turkey
Meleagris ocellata,Ocellated_Turkey
Dendrortyx barbatus,Bearded_Wood-partridge
Dendrortyx macroura,Long-tailed_Wood-partridge
Dendrortyx leucophrys,Buffy-crowned_Wood-partridge
Oreortyx pictus,Mountain_Quail
Callipepla squamata,Scaled_Quail
Callipepla douglasii,Elegant_Quail
Callipepla californica,California_Quail
Callipepla gambelii,Gambel's_Quail
Philortyx fasciatus,Banded_Quail
Colinus nigrogularis,Black-throated_Bobwhite
Odontophorus guttatus,Spotted_Wood-quail
Dactylortyx thoracicus,Singing_Quail
Cyrtonyx montezumae,Montezuma_Quail
Cyrtonyx ocellatus,Ocellated_Quail
Dendrocygna bicolor,Fulvous_Whistling-duck
Dendrocygna autumnalis,Black-bellied_Whistling-duck
Nomonyx dominicus,Masked_Duck
Oxyura jamaicensis,Ruddy_Duck
Cygnus cygnus,Whooper_Swan
Cygnus buccinator,Trumpeter_Swan
Cygnus columbianus,Tundra_Swan
Anser fabalis,Bean_Goose
Anser albifrons,Greater_White-fronted Goose
Chen caerulescens,Snow_Goose
Chen rossii,Ross's_Goose
Chen canagica,Emperor_Goose
Branta sandvicensis,Hawaiian_Goose
Branta canadensis,Canada_Goose
Branta bernicla,Brent_Goose
Cairina moschata,Muscovy_Duck
Aix sponsa,Wood_Duck
Anas strepera,Gadwall_Anas penelope,Eurasian_Wigeon
Anas americana,American_Wigeon
Anas rubripes,American_Black Duck
Anas fulvigula,Mottled_Duck
Anas platyrhynchos,Mallard_Anas wyvilliana,Hawaiian_Duck
Anas laysanensis,Laysan_Duck
Anas discors,Blue-winged_Teal
Anas cyanoptera,Cinnamon_Teal
Anas clypeata,Northern_Shoveler
Anas bahamensis,White-cheeked_Pintail
Anas acuta,Northern_Pintail
Anas querquedula,Garganey_Aythya valisineria,Canvasback_Aythya americana,Redhead_Aythya collaris,Ring-necked_Duck
Aythya fuligula,Tufted_Duck
Aythya marila,Greater_Scaup
Aythya affinis,Lesser_Scaup
Somateria mollissima,Common_Eider
Somateria spectabilis,King_Eider
Somateria fischeri,Spectacled_Eider
Polysticta stelleri,Steller's_Eider
Camptorhynchus labradorius,Labrador_Duck
Histrionicus histrionicus,Harlequin_Duck
Clangula hyemalis,Long-tailed_Duck
Melanitta perspicillata,Surf_Scoter
Bucephala clangula,Common_Goldeneye
Bucephala islandica,Barrow's_Goldeneye
Bucephala albeola,Bufflehead_Mergellus albellus,Smew_Lophodytes cucullatus,Hooded_Merganser
Mergus serrator,Red-breasted_Merganser
Mergus merganser,Common_Merganser
Jynx torquilla,Eurasian_Wryneck
Melanerpes lewis,Lewis's_Woodpecker
Melanerpes erythrocephalus,Red-headed_Woodpecker
Melanerpes formicivorus,Acorn_Woodpecker
Melanerpes pucherani,Black-cheeked_Woodpecker
Melanerpes chrysogenys,Golden-cheeked_Woodpecker
Melanerpes hypopolius,Grey-breasted_Woodpecker
Melanerpes pygmaeus,Yucatan_Woodpecker
Melanerpes uropygialis,Gila_Woodpecker
Melanerpes carolinus,Red-bellied_Woodpecker
Melanerpes aurifrons,Golden-fronted_Woodpecker
Sphyrapicus varius,Yellow-bellied_Sapsucker
Sphyrapicus nuchalis,Red-naped_Sapsucker
Sphyrapicus ruber,Red-breasted_Sapsucker
Sphyrapicus thyroideus,Williamson's_Sapsucker
Picoides nuttallii,Nuttall's_Woodpecker
Picoides scalaris,Ladder-backed_Woodpecker
Picoides pubescens,Downy_Woodpecker
Picoides borealis,Red-cockaded_Woodpecker
Picoides stricklandi,Strickland's_Woodpecker
Picoides villosus,Hairy_Woodpecker
Picoides albolarvatus,White-headed_Woodpecker
Picoides arcticus,Black-backed_Woodpecker
Picoides fumigatus,Smoky-brown_Woodpecker
Colaptes auricularis,Grey-crowned_Woodpecker
Colaptes rubiginosus,Golden-olive_Woodpecker
Colaptes auratus,Northern_Flicker
Colaptes chrysoides,Gilded_Flicker
Celeus castaneus,Chestnut-coloured_Woodpecker
Dryocopus pileatus,Pileated_Woodpecker
Dryocopus lineatus,Lineated_Woodpecker
Campephilus guatemalensis,Pale-billed_Woodpecker
Campephilus imperialis,Imperial_Woodpecker
Campephilus principalis,Ivory-billed_Woodpecker
Aulacorhynchus prasinus,Emerald_Toucanet
Ramphastos sulfuratus,Keel-billed_Toucan
Galbula ruficauda,Rufous-tailed_Jacamar
Malacoptila panamensis,White-whiskered_Puffbird
Pharomachrus mocinno,Resplendent_Quetzal
Euptilotis neoxenus,Eared_Quetzal
Trogon massena,Slaty-tailed_Trogon
Trogon citreolus,Citreoline_Trogon
Trogon melanocephalus,Black-headed_Trogon
Trogon mexicanus,Mountain_Trogon
Trogon elegans,Elegant_Trogon
Trogon collaris,Collared_Trogon
Hylomanes momotula,Tody_Motmot
Aspatha gularis,Blue-throated_Motmot
Electron carinatum,Keel-billed_Motmot
Eumomota superciliosa,Turquoise-browed_Motmot
Momotus mexicanus,Russet-crowned_Motmot
Todus mexicanus,Puerto_Rican Tody
Megaceryle alcyon,Belted_Kingfisher
Megaceryle torquata,Ringed_Kingfisher
Chloroceryle amazona,Amazon_Kingfisher
Chloroceryle americana,Green_Kingfisher
Chloroceryle aenea,American_Pygmy Kingfisher
Coccyzus erythropthalmus,Black-billed_Cuckoo
Coccyzus americanus,Yellow-billed_Cuckoo
Coccyzus minor,Mangrove_Cuckoo
Piaya cayana,Squirrel_Cuckoo
Crotophaga ani,Smooth-billed_Ani
Crotophaga sulcirostris,Groove-billed_Ani
Tapera naevia,Striped_Cuckoo
Morococcyx erythropygus,Lesser_Ground-cuckoo
Dromococcyx phasianellus,Pheasant_Cuckoo
Geococcyx californianus,Greater_Roadrunner
Geococcyx velox,Lesser_Roadrunner
Ara militaris,Military_Macaw
Ara macao,Scarlet_Macaw
Aratinga brevipes,Socorro_Parakeet
Aratinga nana,Olive-throated_Parakeet
Aratinga canicularis,Orange-fronted_Parakeet
Rhynchopsitta pachyrhyncha,Thick-billed_Parrot
Rhynchopsitta terrisi,Maroon-fronted_Parrot
Conuropsis carolinensis,Carolina_Parakeet
Bolborhynchus lineola,Barred_Parakeet
Forpus cyanopygius,Mexican_Parrotlet
Brotogeris jugularis,Orange-chinned_Parakeet
Pyrilia haematotis,Brown-hooded_Parrot
Pionus senilis,White-crowned_Parrot
Amazona albifrons,White-fronted_Amazon
Amazona xantholora,Yellow-lored_Amazon
Amazona viridigenalis,Red-crowned_Amazon
Amazona finschi,Lilac-crowned_Amazon
Amazona autumnalis,Red-lored_Amazon
Amazona oratrix,Yellow-headed_Amazon
Amazona auropalliata,Yellow-naped_Amazon
Amazona farinosa,Mealy_Amazon
Streptoprocne rutila,Chestnut-collared_Swift
Cypseloides niger,American_Black Swift
Cypseloides storeri,White-fronted_Swift
Cypseloides cryptus,White-chinned_Swift
Streptoprocne zonaris,White-collared_Swift
Streptoprocne semicollaris,White-naped_Swift
Chaetura pelagica,Chimney_Swift
Aeronautes saxatalis,White-throated_Swift
Tachornis phoenicobia,Antillean_Palm-swift
Panyptila sanctihieronymi,Great_Swallow-tailed Swift
Panyptila cayennensis,Lesser_Swallow-tailed Swift
Phaeochroa cuvierii,Scaly-breasted_Hummingbird
Campylopterus curvipennis,Wedge-tailed_Sabrewing
Campylopterus excellens,Long-tailed_Sabrewing
Campylopterus rufus,Rufous_Sabrewing
Campylopterus hemileucurus,Violet_Sabrewing
Florisuga mellivora,White-necked_Jacobin
Colibri thalassinus,Green_Violet-ear
Anthracothorax prevostii,Green-breasted_Mango
Abeillia abeillei,Emerald-chinned_Hummingbird
Lophornis brachylophus,Short-crested_Coquette
Lophornis helenae,Black-crested_Coquette
Chlorostilbon canivetii,Fork-tailed_Emerald
Cynanthus sordidus,Dusky_Hummingbird
Cynanthus latirostris,Broad-billed_Hummingbird
Thalurania ridgwayi,Mexican_Woodnymph
Thalurania colombica,Blue-crowned_Woodnymph
Hylocharis xantusii,Xantus's_Hummingbird
Hylocharis leucotis,White-eared_Hummingbird
Hylocharis eliciae,Blue-throated_Goldentail
Amazilia candida,White-bellied_Emerald
Amazilia cyanocephala,Azure-crowned_Hummingbird
Amazilia beryllina,Berylline_Hummingbird
Amazilia cyanura,Blue-tailed_Hummingbird
Amazilia rutila,Cinnamon_Hummingbird
Amazilia yucatanensis,Buff-bellied_Hummingbird
Amazilia viridifrons,Green-fronted_Hummingbird
Amazilia violiceps,Violet-crowned_Hummingbird
Eupherusa poliocerca,White-tailed_Hummingbird
Eupherusa eximia,Stripe-tailed_Hummingbird
Eupherusa cyanophrys,Blue-capped_Hummingbird
Lampornis clemenciae,Blue-throated_Hummingbird
Lampornis amethystinus,Amethyst-throated_Hummingbird
Lampornis viridipallens,Green-throated_Mountain-gem
Lamprolaima rhami,Garnet-throated_Hummingbird
Eugenes fulgens,Magnificent_Hummingbird
Heliothryx barroti,Purple-crowned_Fairy
Heliomaster constantii,Plain-capped_Starthroat
Heliomaster longirostris,Long-billed_Starthroat
Doricha enicura,Slender_Sheartail
Doricha eliza,Mexican_Sheartail
Tilmatura dupontii,Sparkling-tailed_Hummingbird
Calothorax lucifer,Lucifer_Hummingbird
Calothorax pulcher,Beautiful_Hummingbird
Archilochus colubris,Ruby-throated_Hummingbird
Archilochus alexandri,Black-chinned_Hummingbird
Calypte anna,Anna's_Hummingbird
Calypte costae,Costa's_Hummingbird
Calliphlox evelynae,Bahama_Woodstar
Stellula calliope,Calliope_Hummingbird
Atthis heloisa,Bumblebee_Hummingbird
Atthis ellioti,Wine-throated_Hummingbird
Selasphorus platycercus,Broad-tailed_Hummingbird
Selasphorus rufus,Rufous_Hummingbird
Selasphorus sasin,Allen's_Hummingbird
Tyto alba,Barn_Owl
Otus flammeolus,Flammulated_Owl
Megascops kennicottii,Western_Screech-owl
Megascops asio,Eastern_Screech-owl
Megascops trichopsis,Whiskered_Screech-owl
Megascops barbarus,Bearded_Screech-owl
Bubo virginianus,Great_Horned Owl
Bubo scandiaca,Snowy_Owl
Strix occidentalis,Spotted_Owl
Strix varia,Barred_Owl
Strix fulvescens,Fulvous_Owl
Strix nebulosa,Great_Grey Owl
Strix virgata,Mottled_Owl
Strix nigrolineata,Black-and-white_Owl
Lophostrix cristata,Crested_Owl
Pulsatrix perspicillata,Spectacled_Owl
Surnia ulula,Northern_Hawk Owl
Glaucidium brasilianum,Ferruginous_Pygmy-owl
Micrathene whitneyi,Elf_Owl
Athene cunicularia,Burrowing_Owl
Aegolius funereus,Boreal_Owl
Aegolius acadicus,Northern_Saw-whet Owl
Aegolius ridgwayi,Southern_Saw-whet Owl
Asio stygius,Stygian_Owl
Asio otus,Long-eared_Owl
Pseudoscops clamator,Striped_Owl
Asio flammeus,Short-eared_Owl
Nyctibius grandis,Great_Potoo
Nyctibius jamaicensis,Northern_Potoo
Lurocalis semitorquatus,Short-tailed_Nighthawk
Chordeiles acutipennis,Lesser_Nighthawk
Chordeiles minor,Common_Nighthawk
Chordeiles gundlachii,Antillean_Nighthawk
Nyctidromus albicollis,Common_Pauraque
Phalaenoptilus nuttallii,Common_Poorwill
Nyctiphrynus mcleodii,Eared_Poorwill
Nyctiphrynus yucatanicus,Yucatan_Poorwill
Caprimulgus carolinensis,Chuck-will's-widow_Caprimulgus salvini,Tawny-collared_Nightjar
Caprimulgus badius,Yucatan_Nightjar
Caprimulgus ridgwayi,Buff-collared_Nightjar
Caprimulgus maculicaudus,Spot-tailed_Nightjar
Patagioenas leucocephala,White-crowned_Pigeon
Patagioenas speciosa,Scaled_Pigeon
Patagioenas squamosa,Scaly-naped_Pigeon
Patagioenas fasciata,Band-tailed_Pigeon
Patagioenas cayennensis,Pale-vented_Pigeon
Patagioenas flavirostris,Red-billed_Pigeon
Patagioenas nigrirostris,Short-billed_Pigeon
Ectopistes migratorius,Passenger_Pigeon
Zenaida macroura,Mourning_Dove
Zenaida graysoni,Socorro_Dove
Zenaida aurita,Zenaida_Dove
Columbina inca,Inca_Dove
Columbina passerina,Common_Ground-dove
Columbina minuta,Plain-breasted_Ground-dove
Columbina talpacoti,Ruddy_Ground-dove
Claravis pretiosa,Blue_Ground-dove
Claravis mondetoura,Maroon-chested_Ground-dove
Leptotila verreauxi,White-tipped_Dove
Leptotila plumbeiceps,Grey-headed_Dove
Leptotila jamaicensis,Caribbean_Dove
Leptotila cassini,Grey-chested_Dove
Geotrygon carrikeri,Tuxtla_Quail-dove
Geotrygon albifacies,White-faced_Quail-dove
Geotrygon chrysia,Key_West Quail-dove
Geotrygon montana,Ruddy_Quail-dove
Eurypyga helias,Sunbittern_Grus canadensis,Sandhill_Crane
Grus grus,Common_Crane
Grus americana,Whooping_Crane
Aramus guarauna,Limpkin_Heliornis fulica,Sungrebe_Coturnicops noveboracensis,Yellow_Rail
Laterallus ruber,Ruddy_Crake
Laterallus jamaicensis,Black_Rail
Gallirallus wakensis,Wake_Island Rail
Rallus longirostris,Clapper_Rail
Rallus elegans,King_Rail
Rallus limicola,Virginia_Rail
Aramides axillaris,Rufous-necked_Wood-rail
Aramides cajaneus,Grey-necked_Wood-rail
Amaurolimnas concolor,Uniform_Crake
Porzana palmeri,Laysan_Rail
Porzana carolina,Sora_Porzana sandwichensis,Hawaiian_Rail
Porzana flaviventer,Yellow-breasted_Crake
Neocrex erythrops,Paint-billed_Crake
Pardirallus maculatus,Spotted_Rail
Porphyrio martinicus,Yellow-legged_Gallinule
Porphyrio flavirostris,Azure_Gallinule
Gallinula chloropus,Common_Moorhen
Fulica alai,Hawaiian_Coot
Fulica americana,American_Coot
Scolopax minor,American_Woodcock
Gallinago stenura,Pintail_Snipe
Limosa haemastica,Hudsonian_Godwit
Limosa lapponica,Bar-tailed_Godwit
Limosa fedoa,Marbled_Godwit
Numenius borealis,Eskimo_Curlew
Numenius phaeopus,Whimbrel_Numenius tahitiensis,Bristle-thighed_Curlew
Numenius americanus,Long-billed_Curlew
Numenius madagascariensis,Far_Eastern Curlew
Bartramia longicauda,Upland_Sandpiper
Tringa erythropus,Spotted_Redshank
Tringa nebularia,Common_Greenshank
Tringa melanoleuca,Greater_Yellowlegs
Tringa flavipes,Lesser_Yellowlegs
Tringa solitaria,Solitary_Sandpiper
Tringa glareola,Wood_Sandpiper
Xenus cinereus,Terek_Sandpiper
Actitis macularius,Spotted_Sandpiper
Heteroscelus brevipes,Grey-tailed_Tattler
Heteroscelus incanus,Wandering_Tattler
Catoptrophorus semipalmatus,Willet_Arenaria interpres,Ruddy_Turnstone
Arenaria melanocephala,Black_Turnstone
Limnodromus griseus,Short-billed_Dowitcher
Limnodromus scolopaceus,Long-billed_Dowitcher
Aphriza virgata,Surfbird_Calidris canutus,Red_Knot
Calidris alba,Sanderling_Calidris pusilla,Semipalmated_Sandpiper
Calidris mauri,Western_Sandpiper
Calidris ruficollis,Red-necked_Stint
Calidris subminuta,Long-toed_Stint
Calidris minutilla,Least_Sandpiper
Calidris fuscicollis,White-rumped_Sandpiper
Calidris bairdii,Baird's_Sandpiper
Calidris melanotos,Pectoral_Sandpiper
Calidris acuminata,Sharp-tailed_Sandpiper
Calidris maritima,Purple_Sandpiper
Calidris ptilocnemis,Rock_Sandpiper
Calidris alpina,Dunlin_Calidris ferruginea,Curlew_Sandpiper
Calidris himantopus,Stilt_Sandpiper
Tryngites subruficollis,Buff-breasted_Sandpiper
Steganopus tricolor,Wilson's_Phalarope
Phalaropus lobatus,Red-necked_Phalarope
Phalaropus fulicarius,Red_Phalarope
Jacana spinosa,Northern_Jacana
Burhinus bistriatus,Double-striped_Thick-knee
Haematopus bachmani,Black_Oystercatcher
Haematopus palliatus,American_Oystercatcher
Recurvirostra americana,American_Avocet
Pluvialis fulva,Pacific_Golden Plover
Pluvialis dominica,American_Golden Plover
Pluvialis squatarola,Grey_Plover
Charadrius hiaticula,Common_Ringed Plover
Charadrius semipalmatus,Semipalmated_Plover
Charadrius wilsonia,Wilson's_Plover
Charadrius vociferus,Killdeer_Charadrius melodus,Piping_Plover
Charadrius alexandrinus,Kentish_Plover
Charadrius collaris,Collared_Plover
Charadrius mongolus,Lesser_Sand Plover
Charadrius montanus,Mountain_Plover
Eudromias morinellus,Eurasian_Dotterel
Glareola maldivarum,Oriental_Pratincole
Stercorarius skua,Great_Skua
Stercorarius maccormicki,South_Polar Skua
Stercorarius pomarinus,Pomarine_Jaeger
Stercorarius parasiticus,Parasitic_Jaeger
Stercorarius longicaudus,Long-tailed_Jaeger
Rynchops niger,Black_Skimmer
Larus heermanni,Heermann's_Gull
Larus canus,Mew_Gull
Larus delawarensis,Ring-billed_Gull
Larus californicus,California_Gull
Larus marinus,Great_Black-backed Gull
Larus dominicanus,Kelp_Gull
Larus glaucescens,Glaucous-winged_Gull
Larus occidentalis,Western_Gull
Larus livens,Yellow-footed_Gull
Larus hyperboreus,Glaucous_Gull
Larus glaucoides,Iceland_Gull
Larus argentatus,Herring_Gull
Larus schistisagus,Slaty-backed_Gull
Larus fuscus,Lesser_Black-backed Gull
Larus ridibundus,Black-headed_Gull
Larus philadelphia,Bonaparte's_Gull
Larus atricilla,Laughing_Gull
Larus pipixcan,Franklin's_Gull
Larus minutus,Little_Gull
Pagophila eburnea,Ivory_Gull
Rhodostethia rosea,Ross's_Gull
Xema sabini,Sabine's_Gull
Rissa tridactyla,Black-legged_Kittiwake
Rissa brevirostris,Red-legged_Kittiwake
Sterna nilotica,Gull-billed_Tern
Sterna caspia,Caspian_Tern
Sterna maxima,Royal_Tern
Sterna elegans,Elegant_Tern
Sterna sandvicensis,Sandwich_Tern
Sterna dougallii,Roseate_Tern
Sterna hirundo,Common_Tern
Sterna paradisaea,Arctic_Tern
Sterna forsteri,Forster's_Tern
Sterna antillarum,Least_Tern
