Melozone aberti,Abert's_Towhee
Empidonax virescens,Acadian_Flycatcher
Melanerpes formicivorus,Acorn_Woodpecker
Agamia agami,Agami_Heron
Empidonax alnorum,Alder_Flycatcher
Sterna aleutica,Aleutian_Tern
Chloroceryle amazona,Amazon_Kingfisher
Recurvirostra americana,American_Avocet
Botaurus lentiginosus,American_Bittern
Fulica americana,American_Coot
Corvus brachyrhynchos,American_Crow
Cinclus mexicanus,American_Dipper
Carduelis tristis,American_Goldfinch
Falco sparverius,American_Kestrel
Haematopus palliatus,American_Oystercatcher
Turdus migratorius,American_Robin
Anas americana,American_Wigeon
Scolopax minor,American_Woodcock
Synthliboramphus antiquus,Ancient_Murrelet
Calypte anna,Anna's_Hummingbird
Chordeiles gundlachii,Antillean_Nighthawk
Falco femoralis,Aplomado_Falcon
Gavia arctica,Arctic_Loon
Sterna paradisaea,Arctic_Tern
Phylloscopus borealis,Arctic_Warbler
Myiarchus cinerascens,Ash-throated_Flycatcher
Oceanodroma homochroa,Ashy_Storm-petrel
Fratercula arctica,Atlantic_Puffin
Puffinus lherminieri,Audubon's_Shearwater
Zoothera pinicola,Aztec_Thrush
Porphyrio flavirostris,Azure_Gallinule
Amazilia cyanocephala,Azure-crowned_Hummingbird
Cyanolyca cucullata,Azure-hooded_Jay
Peucaea aestivalis,Bachman's_Sparrow
Vermivora bachmanii,Bachman's_Warbler
Mimus gundlachii,Bahama_Mockingbird
Tachycineta cyaneoviridis,Bahama_Swallow
Calliphlox evelynae,Bahama_Woodstar
Calidris bairdii,Baird's_Sandpiper
Ammodramus bairdii,Baird's_Sparrow
Haliaeetus leucocephalus,Bald_Eagle
Campylorhynchus zonatus,Band-backed_Wren
Patagioenas fasciata,Band-tailed_Pigeon
Philortyx fasciatus,Banded_Quail
Thryothorus pleurostictus,Banded_Wren
Limosa lapponica,Bar-tailed_Godwit
Tyto alba,Barn_Owl
Hirundo rustica,Barn_Swallow
Thamnophilus doliatus,Barred_Antshrike
Strix varia,Barred_Owl
Bolborhynchus lineola,Barred_Parakeet
Bucephala islandica,Barrow's_Goldeneye
Anser fabalis,Bean_Goose
Dendrortyx barbatus,Bearded_Wood-partridge
Vireo bellii,Bell's_Vireo
Xenotriccus callizonus,Belted_Flycatcher
Megaceryle alcyon,Belted_Kingfisher
Toxostoma bendirei,Bendire's_Thrasher
Pterodroma cahow,Bermuda_Petrel
Amazilia beryllina,Berylline_Hummingbird
Thryomanes bewickii,Bewick's_Wren
Accipiter bicolor,Bicoloured_Hawk
Cepphus grylle,Black_Guillemot
Spizaetus tyrannus,Black_Hawk-eagle
Anous minutus,Black_Noddy
Haematopus bachmani,Black_Oystercatcher
Sayornis nigricans,Black_Phoebe
Laterallus jamaicensis,Black_Rail
Rynchops niger,Black_Skimmer
Oceanodroma melania,Black_Storm-petrel
Chlidonias niger,Black_Tern
Arenaria melanocephala,Black_Turnstone
Coragyps atratus,Black_Vulture
Spizaetus melanoleucus,Black-and-white_Hawk-eagle
Strix nigrolineata,Black-and-white_Owl
Picoides arcticus,Black-backed_Woodpecker
Dendrocolaptes picumnus,Black-banded_Woodcreeper
Coccyzus erythropthalmus,Black-billed_Cuckoo
Pica pica,Black-billed_Magpie
Parus atricapillus,Black-capped_Chickadee
Pterodroma hasitata,Black-capped_Petrel
Carduelis atriceps,Black-capped_Siskin
Notiochelidon pileata,Black-capped_Swallow
Vireo atricapilla,Black-capped_Vireo
Melanerpes pucherani,Black-cheeked_Woodpecker
Peucaea humeralis,Black-chested_Sparrow
Archilochus alexandri,Black-chinned_Hummingbird
Busarellus nigricollis,Black-collared_Hawk
Baeolophus atricristatus,Black-crested_Titmouse
Tityra inquisitor,Black-crowned_Tityra
Formicarius analis,Black-faced_Antthrush
Phoebastria nigripes,Black-footed_Albatross
Larus ridibundus,Black-headed_Gull
Catharus mexicanus,Black-headed_Nightingale-thrush
Carduelis notata,Black-headed_Siskin
Trogon melanocephalus,Black-headed_Trogon
Rissa tridactyla,Black-legged_Kittiwake
Podiceps nigricollis,Black-necked_Grebe
Estrilda troglodytes,Black-rumped_Waxbill
Polioptila melanura,Black-tailed_Gnatcatcher
Cyanolyca pumilo,Black-throated_Jay
Calocitta colliei,Black-throated_Magpie-jay
Puffinus opisthomelas,Black-vented_Shearwater
Vireo altiloquus,Black-whiskered_Vireo
Dendroica fusca,Blackburnian_Warbler
Cyanocitta cristata,Blue_Jay
Melanotis hypoleucus,Blue-and-white_Mockingbird
Eupherusa cyanophrys,Blue-capped_Hummingbird
Thalurania colombica,Blue-crowned_Woodnymph
Sula nebouxii,Blue-footed_Booby
Vireo solitarius,Blue-headed_Vireo
Amazilia cyanura,Blue-tailed_Hummingbird
Lampornis clemenciae,Blue-throated_Hummingbird
Anas discors,Blue-winged_Teal
Vermivora cyanoptera,Blue-winged_Warbler
Cochlearius cochlearius,Boat-billed_Heron
Larus philadelphia,Bonaparte's_Gull
Pterodroma hypoleuca,Bonin_Petrel
Parus hudsonicus,Boreal_Chickadee
Peucaea botterii,Botteri's_Sparrow
Campylorhynchus jocosus,Boucard's_Wren
Branta bernicla,Brent_Goose
Peucaea mystacalis,Bridled_Sparrow
Sterna anaethetus,Bridled_Tern
Attila spadiceus,Bright-rumped_Attila
Cynanthus latirostris,Broad-billed_Hummingbird
Selasphorus platycercus,Broad-tailed_Hummingbird
Buteo platypterus,Broad-winged_Hawk
Sula leucogaster,Brown_Booby
Psilorhinus morio,Brown_Jay
Anous stolidus,Brown_Noddy
Toxostoma rufum,Brown_Thrasher
Myadestes occidentalis,Brown-backed_Solitaire
Progne tapera,Brown-chested_Martin
Myiarchus tyrannulus,Brown-crested_Flycatcher
Sitta pusilla,Brown-headed_Nuthatch
Pyrilia haematotis,Brown-hooded_Parrot
Amazilia yucatanensis,Buff-bellied_Hummingbird
Empidonax fulvifrons,Buff-breasted_Flycatcher
Tryngites subruficollis,Buff-breasted_Sandpiper
Caprimulgus ridgwayi,Buff-collared_Nightjar
Dendrortyx leucophrys,Buffy-crowned_Wood-partridge
Bulweria bulwerii,Bulwer's_Petrel
Athene cunicularia,Burrowing_Owl
Campylorhynchus brunneicapillus,Cactus_Wren
Gymnogyps californianus,California_Condor
Polioptila californica,California_Gnatcatcher
Larus californicus,California_Gull
Callipepla californica,California_Quail
Toxostoma redivivum,California_Thrasher
Melozone crissalis,California_Towhee
Stellula calliope,Calliope_Hummingbird
Branta canadensis,Canada_Goose
Melozone fuscus,Canyon_Towhee
Catherpes mexicanus,Canyon_Wren
Leptotila jamaicensis,Caribbean_Dove
Parus carolinensis,Carolina_Chickadee
Conuropsis carolinensis,Carolina_Parakeet
Thryothorus ludovicianus,Carolina_Wren
Sterna caspia,Caspian_Tern
Ptychoramphus aleuticus,Cassin's_Auklet
Carpodacus cassinii,Cassin's_Finch
Tyrannus vociferans,Cassin's_Kingbird
Peucaea cassinii,Cassin's_Sparrow
Vireo cassinii,Cassin's_Vireo
Bubulcus ibis,Cattle_Egret
Petrochelidon fulva,Cave_Swallow
Bombycilla cedrorum,Cedar_Waxwing
Parus rufescens,Chestnut-backed_Chickadee
Arremon brunneinucha,Chestnut-capped_Brush-finch
Calcarius ornatus,Chestnut-collared_Longspur
Celeus castaneus,Chestnut-coloured_Woodpecker
Dendroica pensylvanica,Chestnut-sided_Warbler
Corvus cryptoleucus,Chihuahuan_Raven
Chaetura pelagica,Chimney_Swift
Spizella passerina,Chipping_Sparrow
Pachyramphus cinnamomeus,Cinnamon_Becard
Amazilia rutila,Cinnamon_Hummingbird
Anas cyanoptera,Cinnamon_Teal
Peucaea sumichrasti,Cinnamon-tailed_Sparrow
Trogon citreolus,Citreoline_Trogon
Motacilla citreola,Citrine_Wagtail
Rallus longirostris,Clapper_Rail
Nucifraga columbiana,Clark's_Nutcracker
Spizella pallida,Clay-coloured_Sparrow
Petrochelidon pyrrhonota,Cliff_Swallow
Charadrius collaris,Collared_Plover
Trogon collaris,Collared_Trogon
Grus grus,Common_Crane
Somateria mollissima,Common_Eider
Bucephala clangula,Common_Goldeneye
Tringa nebularia,Common_Greenshank
Uria aalge,Common_Guillemot
Gavia immer,Common_Loon
Mergus merganser,Common_Merganser
Gallinula chloropus,Common_Moorhen
Chordeiles minor,Common_Nighthawk
Phalaenoptilus nuttallii,Common_Poorwill
Corvus corax,Common_Raven
Carpodacus erythrinus,Common_Rosefinch
Sturnus vulgaris,Common_Starling
Saxicola torquatus,Common_Stonechat
Sterna hirundo,Common_Tern
Pterodroma cookii,Cook's_Petrel
Accipiter cooperii,Cooper's_Hawk
Empidonax occidentalis,Cordilleran_Flycatcher
Calonectris diomedea,Cory's_Shearwater
Calypte costae,Costa's_Hummingbird
Vireo bairdi,Cozumel_Vireo
Geranospiza caerulescens,Crane_Hawk
Synthliboramphus craveri,Craveri's_Murrelet
Aethia cristatella,Crested_Auklet
Caracara cheriway,Crested_Caracara
Morphnus guianensis,Crested_Eagle
Penelope purpurascens,Crested_Guan
Lophostrix cristata,Crested_Owl
Toxostoma crissale,Crissal_Thrasher
Toxostoma curvirostre,Curve-billed_Thrasher
Muscicapa sibirica,Dark-sided_Flycatcher
Microrhopias quixensis,Dot-winged_Antwren
Phalacrocorax auritus,Double-crested_Cormorant
Burhinus bistriatus,Double-striped_Thick-knee
Harpagus bidentatus,Double-toothed_Kite
Picoides pubescens,Downy_Woodpecker
Cercomacra tyrannina,Dusky_Antbird
Cynanthus sordidus,Dusky_Hummingbird
Turdus naumanni,Dusky_Thrush
Cyanolyca nana,Dwarf_Jay
Vireo nelsoni,Dwarf_Vireo
Nyctiphrynus mcleodii,Eared_Poorwill
Euptilotis neoxenus,Eared_Quetzal
Sialia sialis,Eastern_Bluebird
Tyrannus tyrannus,Eastern_Kingbird
Sayornis phoebe,Eastern_Phoebe
Pipilo erythrophthalmus,Eastern_Towhee
Callipepla douglasii,Elegant_Quail
Sterna elegans,Elegant_Tern
Micrathene whitneyi,Elf_Owl
Aulacorhynchus prasinus,Emerald_Toucanet
Abeillia abeillei,Emerald-chinned_Hummingbird
Chen canagica,Emperor_Goose
Numenius borealis,Eskimo_Curlew
Pyrrhula pyrrhula,Eurasian_Bullfinch
Eudromias morinellus,Eurasian_Dotterel
Carduelis spinus,Eurasian_Siskin
Jynx torquilla,Eurasian_Wryneck
Coccothraustes vespertinus,Evening_Grosbeak
Rhynchocyclus brevirostris,Eye-ringed_Flatbill
Turdus obscurus,Eyebrowed_Thrush
Pterodroma feae,Fea's_Petrel
Buteo regalis,Ferruginous_Hawk
Glaucidium brasilianum,Ferruginous_Pygmy-owl
Spizella pusilla,Field_Sparrow
Corvus ossifragus,Fish_Crow
Amphispiza quinquestriata,Five-striped_Sparrow
Deltarhynchus flammulatus,Flammulated_Flycatcher
Otus flammeolus,Flammulated_Owl
Puffinus carneipes,Flesh-footed_Shearwater
Tyrannus savana,Fork-tailed_Flycatcher
Oceanodroma furcata,Fork-tailed_Storm-petrel
Sterna forsteri,Forster's_Tern
Passerella iliaca,Fox_Sparrow
Larus pipixcan,Franklin's_Gull
Strix fulvescens,Fulvous_Owl
Pterodroma phaeopygia,Galapagos_Petrel
Callipepla gambelii,Gambel's_Quail
Lamprolaima rhami,Garnet-throated_Hummingbird
Melanerpes uropygialis,Gila_Woodpecker
Colaptes chrysoides,Gilded_Flicker
Larus hyperboreus,Glaucous_Gull
Larus glaucescens,Glaucous-winged_Gull
Plegadis falcinellus,Glossy_Ibis
Aquila chrysaetos,Golden_Eagle
Vireo hypochryseus,Golden_Vireo
Melanerpes chrysogenys,Golden-cheeked_Woodpecker
Regulus satrapa,Golden-crowned_Kinglet
Zonotrichia atricapilla,Golden-crowned_Sparrow
Melanerpes aurifrons,Golden-fronted_Woodpecker
Colaptes rubiginosus,Golden-olive_Woodpecker
Vermivora chrysoptera,Golden-winged_Warbler
Dendroica graciae,Grace's_Warbler
Ammodramus savannarum,Grasshopper_Sparrow
Leucosticte tephrocotis,Gray-crowned_Rosy-finch
Taraba major,Great_Antshrike
Phalacrocorax carbo,Great_Cormorant
Crax rubra,Great_Curassow
Casmerodius albus,Great_Egret
Pitangus sulphuratus,Great_Kiskadee
Nyctibius grandis,Great_Potoo
Puffinus gravis,Great_Shearwater
Stercorarius skua,Great_Skua
Tinamus major,Great_Tinamou
Fregata minor,Greater_Frigatebird
Rhodacanthis palmeri,Greater_Koa-finch
Contopus pertinax,Greater_Pewee
Tympanuchus cupido,Greater_Prairie-chicken
Geococcyx californianus,Greater_Roadrunner
Centrocercus urophasianus,Greater_Sage-grouse
Aythya marila,Greater_Scaup
Tringa melanoleuca,Greater_Yellowlegs
Butorides virescens,Green_Heron
Cyanocorax yncas,Green_Jay
Chloroceryle americana,Green_Kingfisher
Colibri thalassinus,Green_Violet-ear
Arremonops chloronotus,Green-backed_Sparrow
Anthracothorax prevostii,Green-breasted_Mango
Amazilia viridifrons,Green-fronted_Hummingbird
Arremon virenticeps,Green-striped_Brush-finch
Pipilo chlorurus,Green-tailed_Towhee
Myiopagis viridicata,Greenish_Elaenia
Emberiza variabilis,Grey_Bunting
Empidonax wrightii,Grey_Flycatcher
Perisoreus canadensis,Grey_Jay
Tyrannus dominicensis,Grey_Kingbird
Perdix perdix,Grey_Partridge
Pluvialis squatarola,Grey_Plover
Motacilla cinerea,Grey_Wagtail
Campylorhynchus megalopterus,Grey-barred_Wren
Melanerpes hypopolius,Grey-breasted_Woodpecker
Carduelis sinica,Grey-capped_Greenfinch
Leptotila cassini,Grey-chested_Dove
Pachyramphus major,Grey-collared_Becard
Colaptes auricularis,Grey-crowned_Woodpecker
Aramides cajaneus,Grey-necked_Wood-rail
Heteroscelus brevipes,Grey-tailed_Tattler
Crotophaga sulcirostris,Groove-billed_Ani
Oceanodroma macrodactyla,Guadalupe_Storm-petrel
Sterna nilotica,Gull-billed_Tern
Falco rusticolus,Gyr_Falcon
Picoides villosus,Hairy_Woodpecker
Empidonax hammondii,Hammond's_Flycatcher
Thryothorus felix,Happy_Wren
Histrionicus histrionicus,Harlequin_Duck
Harpia harpyja,Harpy_Eagle
Parabuteo unicinctus,Harris's_Hawk
Zonotrichia querula,Harris's_Sparrow
Moho nobilis,Hawaii_Oo
Fulica alai,Hawaiian_Coot
Corvus hawaiiensis,Hawaiian_Crow
Branta sandvicensis,Hawaiian_Goose
Buteo solitarius,Hawaiian_Hawk
Pterodroma sandwichensis,Hawaiian_Petrel
Larus heermanni,Heermann's_Gull
Ammodramus henslowii,Henslow's_Sparrow
Catharus guttatus,Hermit_Thrush
Dendroica occidentalis,Hermit_Warbler
Larus argentatus,Herring_Gull
Penelopina nigra,Highland_Guan
Coccothraustes abeillei,Hooded_Grosbeak
Chondrohierax uncinatus,Hook-billed_Kite
Podiceps auritus,Horned_Grebe
Oreophasis derbianus,Horned_Guan
Fratercula corniculata,Horned_Puffin
Carpodacus mexicanus,House_Finch
Troglodytes aedon,House_Wren
Limosa haemastica,Hudsonian_Godwit
Vireo huttoni,Hutton's_Vireo
Larus glaucoides,Iceland_Gull
Campephilus imperialis,Imperial_Woodpecker
Columbina inca,Inca_Dove
Pagophila eburnea,Ivory_Gull
Campephilus principalis,Ivory-billed_Woodpecker
Moho braccatus,Kauai_Oo
Electron carinatum,Keel-billed_Motmot
Ramphastos sulfuratus,Keel-billed_Toucan
Larus dominicanus,Kelp_Gull
Charadrius alexandrinus,Kentish_Plover
Somateria spectabilis,King_Eider
Rallus elegans,King_Rail
Sarcoramphus papa,King_Vulture
Dendroica kirtlandii,Kirtland's_Warbler
Brachyramphus brevirostris,Kittlitz's_Murrelet
Camptorhynchus labradorius,Labrador_Duck
Picoides scalaris,Ladder-backed_Woodpecker
Locustella lanceolata,Lanceolated_Warbler
Calcarius lapponicus,Lapland_Longspur
Phaetusa simplex,Large-billed_Tern
Calamospiza melanocorys,Lark_Bunting
Chondestes grammacus,Lark_Sparrow
Herpetotheres cachinnans,Laughing_Falcon
Larus atricilla,Laughing_Gull
Estrilda caerulescens,Lavender_Waxbill
Carduelis lawrencei,Lawrence's_Goldfinch
Phoebastria immutabilis,Laysan_Albatross
Anas laysanensis,Laysan_Duck
Telespiza cantans,Laysan_Finch
Porzana palmeri,Laysan_Rail
Oceanodroma leucorhoa,Leach's_Storm-petrel
Aethia pusilla,Least_Auklet
Ixobrychus exilis,Least_Bittern
Empidonax minimus,Least_Flycatcher
Tachybaptus dominicus,Least_Grebe
Calidris minutilla,Least_Sandpiper
Halocyptena microsoma,Least_Storm-petrel
Sterna antillarum,Least_Tern
Fregata ariel,Lesser_Frigatebird
Carduelis psaltria,Lesser_Goldfinch
Chordeiles acutipennis,Lesser_Nighthawk
Geococcyx velox,Lesser_Roadrunner
Aythya affinis,Lesser_Scaup
Tringa flavipes,Lesser_Yellowlegs
Melanerpes lewis,Lewis's_Woodpecker
Amazona finschi,Lilac-crowned_Amazon
Melospiza lincolnii,Lincoln's_Sparrow
Dryocopus lineatus,Lineated_Woodpecker
Alle alle,Little_Auk
Emberiza pusilla,Little_Bunting
Larus minutus,Little_Gull
Crypturellus soui,Little_Tinamou
Tyrannus caudifasciatus,Loggerhead_Kingbird
Numenius americanus,Long-billed_Curlew
Limnodromus scolopaceus,Long-billed_Dowitcher
Heliomaster longirostris,Long-billed_Starthroat
